Unity time	tracker time	eye ray x	eye ray y	 eye ray z	eye screen x	eye screen z	status 	 objX 	objY 	Target Size	Button	Spawn Angle	Kill Angle	Eye Moved
5.1	0	-0.747309	0.6472385	0.1503716	-145.7917	788.7098	1	3013.266	280.9899	1	0	0	0	False
5.11	0	-0.7494293	0.6472996	0.1391362	-145.7916	788.7098	1	3040.873	257.6063	1	0	0	0	False
5.12	0	-0.7520741	0.6463488	0.1289105	-145.7916	788.7098	1	3077.59	235.8953	1	0	0	0	False
5.13	0	-0.7535515	0.6462721	0.1203846	-145.7917	788.7098	1	3106.929	218.4366	1	0	0	0	False
5.14	0	-0.7535515	0.6462721	0.1203846	-145.7917	788.7098	1	3106.929	218.4366	1	0	0	0	False
5.15	0	-0.7544171	0.6465653	0.113173	-145.7916	788.7098	1	3133.865	204.3625	1	0	0	0	False
5.16	0	-0.7556455	0.6459966	0.1081121	-145.7916	788.7098	1	3149.418	192.2532	1	0	0	0	False
5.17	0	-0.756488	0.6452694	0.1065525	-145.7916	788.7098	1	3154.521	187.428	1	0	0	0	False
5.18	0	-0.756488	0.6452694	0.1065525	-145.7916	788.7098	1	3154.521	187.428	1	0	0	0	False
5.19	0	-0.7568777	0.6447976	0.1066412	-145.7916	788.7098	1	3158.667	187.3375	1	0	0	0	False
5.2	0	-0.7562302	0.6454862	0.1070681	-145.7916	788.7098	1	3157.126	189.6142	1	0	0	0	False
5.21	0	-0.7558163	0.6457019	0.1086771	-145.7916	788.7098	1	3150.542	193.3174	1	0	0	0	False
5.22	0	-0.7558163	0.6457019	0.1086771	-145.7916	788.7098	1	3150.542	193.3174	1	0	0	0	False
5.23	0	-0.7560307	0.6453698	0.1091577	-145.7916	788.7098	1	3153.06	194.3114	1	0	0	0	False
5.24	0	-0.7564781	0.6447951	0.1094538	-145.7916	788.7098	1	3157.613	194.6449	1	0	0	0	False
5.25	0	-0.7571679	0.6437734	0.1106914	-145.7917	788.7098	1	3158.512	196.0456	1	0	0	0	False
5.26	0	-0.7571679	0.6437734	0.1106914	-145.7917	788.7098	1	3158.512	196.0456	1	0	0	0	False
5.27	0	-0.7576467	0.6432034	0.1107289	-145.7916	788.7098	1	3166.18	196.1774	1	0	0	0	False
5.28	0	-0.7580422	0.6427751	0.1105096	-145.7916	788.7098	1	3168.785	195.1427	1	0	0	0	False
5.29	0	-0.7584636	0.6423782	0.1099243	-145.7916	788.7098	1	3175.219	193.7619	1	0	0	0	False
